Accel_X,Accel_Y,Accel_Z,modAccel_X,modAccel_Y,modAccel_Z,Displ_X,Disp_Y,Displ_Z
-1.4798,-2.4892,9.4178,-0.5586,0.0685999,0,-0.007399,-0.012446,0.047089
-0.8918,-2.009,9.5354,0.588,0.4802,0.117599,-0.004459,-0.010045,0.047677
-1.2348,-1.7738,9.3982,-0.343,0.2352,-0.137199,-0.006174,-0.008869,0.046991
-0.9702,-1.8424,9.5256,0.2646,-0.0686001,0.1274,-0.004851,-0.009212,0.047628
-0.9114,-2.9302,9.7216,0.0588,-1.0878,0.195999,-0.004557,-0.014651,0.048608
-0.7154,-2.5676,9.6138,0.196,0.3626,-0.1078,-0.003577,-0.012838,0.048069
-0.6566,-2.5676,9.506,0.0588,0,-0.1078,-0.003283,-0.012838,0.04753
-0.7938,-2.6558,9.2904,-0.1372,-0.0881999,-0.2156,-0.003969,-0.013279,0.046452
-0.6762,-2.3716,9.212,0.1176,0.2842,-0.0784006,-0.003381,-0.011858,0.04606
-0.588,-2.2932,9.3492,0.0882,0.0783999,0.1372,-0.00294,-0.011466,0.046746
-1.3132,-2.9596,9.8392,-0.7252,-0.6664,0.489999,-0.006566,-0.014798,0.049196
-0.49,-2.8518,9.457,0.8232,0.1078,-0.382199,-0.00245,-0.014259,0.047285
-0.3626,-3.234,9.4864,0.1274,-0.3822,0.0293999,-0.001813,-0.01617,0.047432
-1.1074,-3.2536,9.6334,-0.7448,-0.0195997,0.147,-0.005537,-0.016268,0.048167
-0.8624,-2.9988,9.457,0.245,0.2548,-0.1764,-0.004312,-0.014994,0.047285
-0.6958,-3.8024,9.7314,0.1666,-0.8036,0.2744,-0.003479,-0.019012,0.048657
-0.8526,-3.3908,8.967,-0.1568,0.4116,-0.7644,-0.004263,-0.016954,0.044835
-1.8522,-3.0674,9.4178,-0.9996,0.3234,0.4508,-0.009261,-0.015337,0.047089
-1.6268,-2.793,10.0646,0.2254,0.2744,0.6468,-0.008134,-0.013965,0.050323
-0.9898,-2.8518,9.555,0.637,-0.0588,-0.5096,-0.004949,-0.014259,0.047775
-0.637,-2.2638,9.0944,0.3528,0.588,-0.460601,-0.003185,-0.011319,0.045472
-0.5488,-2.4794,9.3394,0.0882,-0.2156,0.245001,-0.002744,-0.012397,0.046697
-0.833,-2.5284,9.702,-0.2842,-0.049,0.362599,-0.004165,-0.012642,0.04851
-0.9016,-2.842,9.7804,-0.0686,-0.3136,0.0784006,-0.004508,-0.01421,0.048902
-1.0976,-2.3814,9.261,-0.196,0.4606,-0.519401,-0.005488,-0.011907,0.046305
-0.8036,-2.3324,9.2904,0.294,0.049,0.0294008,-0.004018,-0.011662,0.046452
-0.6762,-2.3422,9.457,0.1274,-0.00979996,0.166599,-0.003381,-0.011711,0.047285
-1.2446,-2.0678,9.7608,-0.5684,0.2744,0.303801,-0.006223,-0.010339,0.048804
-0.6762,-2.3324,9.5648,0.5684,-0.2646,-0.196,-0.003381,-0.011662,0.047824
-0.6272,-2.3422,9.6236,0.049,-0.00979996,0.0587997,-0.003136,-0.011711,0.048118
-1.47,-2.9988,9.6922,-0.8428,-0.6566,0.0686007,-0.00735,-0.014994,0.048461
-0.735,-2.94,9.1728,0.735,0.0588,-0.519401,-0.003675,-0.0147,0.045864
-0.4214,-2.94,9.4864,0.3136,0,0.3136,-0.002107,-0.0147,0.047432
-0.7056,-2.5186,9.6824,-0.2842,0.4214,0.196,-0.003528,-0.012593,0.048412
-0.9898,-2.548,9.6236,-0.2842,-0.0293999,-0.0587997,-0.004949,-0.01274,0.048118
-1.176,-3.1262,9.8196,-0.1862,-0.5782,0.196,-0.00588,-0.015631,0.049098
-0.8134,-2.8616,9.3982,0.3626,0.2646,-0.4214,-0.004067,-0.014308,0.046991
-0.784,-3.0086,9.555,0.0294,-0.147,0.1568,-0.00392,-0.015043,0.047775
-1.2544,-2.6754,9.5256,-0.4704,0.3332,-0.0293999,-0.006272,-0.013377,0.047628
-1.2348,-2.9988,9.6138,0.0196,-0.3234,0.0881996,-0.006174,-0.014994,0.048069
-1.2054,-3.0282,9.1826,0.0294,-0.0293999,-0.4312,-0.006027,-0.015141,0.045913
-0.5488,-2.352,8.9768,0.6566,0.6762,-0.2058,-0.002744,-0.01176,0.044884
-0.4018,-2.0678,8.82,0.147,0.2842,-0.1568,-0.002009,-0.010339,0.0441
-0.9604,-2.989,9.3884,-0.5586,-0.9212,0.5684,-0.004802,-0.014945,0.046942
-0.931,-2.3618,8.7318,0.0294,0.6272,-0.6566,-0.004655,-0.011809,0.043659
-1.127,-3.9298,9.506,-0.196,-1.568,0.7742,-0.005635,-0.019649,0.04753
-1.0682,-3.332,9.261,0.0588,0.5978,-0.245001,-0.005341,-0.01666,0.046305
-1.0878,-3.5084,9.4962,-0.0196,-0.1764,0.2352,-0.005439,-0.017542,0.047481
-1.372,-4.0866,10.1724,-0.2842,-0.5782,0.6762,-0.00686,-0.020433,0.050862
-1.2348,-3.5476,9.1924,0.1372,0.539,-0.98,-0.006174,-0.017738,0.045962
-1.9698,-3.3124,9.1434,-0.735,0.2352,-0.0489998,-0.009849,-0.016562,0.045717
-1.225,-3.0576,9.3492,0.7448,0.2548,0.2058,-0.006125,-0.015288,0.046746
-0.9408,-3.2732,9.4178,0.2842,-0.2156,0.0685997,-0.004704,-0.016366,0.047089
-1.617,-3.0576,9.0748,-0.6762,0.2156,-0.343,-0.008085,-0.015288,0.045374
-1.4014,-2.989,9.3296,0.2156,0.0685999,0.254801,-0.007007,-0.014945,0.046648
-1.1662,-3.3418,9.457,0.2352,-0.3528,0.127399,-0.005831,-0.016709,0.047285
-1.3524,-2.842,9.1728,-0.1862,0.4998,-0.2842,-0.006762,-0.01421,0.045864
-1.2348,-3.136,9.2316,0.1176,-0.294,0.0587997,-0.006174,-0.01568,0.046158
-1.421,-3.2438,9.2414,-0.1862,-0.1078,0.00979996,-0.007105,-0.016219,0.046207
-1.4112,-3.5084,9.4374,0.00980008,-0.2646,0.196,-0.007056,-0.017542,0.047187
-0.8624,-3.2634,8.82,0.5488,0.245,-0.6174,-0.004312,-0.016317,0.0441
-0.8918,-3.4594,9.2218,-0.0294,-0.196,0.4018,-0.004459,-0.017297,0.046109
-1.4406,-3.724,9.653,-0.5488,-0.2646,0.4312,-0.007203,-0.01862,0.048265
-1.2348,-3.5966,9.3002,0.2058,0.1274,-0.352799,-0.006174,-0.017983,0.046501
-1.1466,-3.4594,9.3492,0.0882,0.1372,0.0489998,-0.005733,-0.017297,0.046746
-1.6268,-3.5378,9.3296,-0.4802,-0.0784001,-0.0195999,-0.008134,-0.017689,0.046648
-1.0878,-3.528,9.1728,0.539,0.00979996,-0.1568,-0.005439,-0.01764,0.045864
-1.1858,-3.528,9.163,-0.0979999,0,-0.00979996,-0.005929,-0.01764,0.045815
-1.4504,-3.773,9.408,-0.2646,-0.245,0.245,-0.007252,-0.018865,0.04704
-1.3328,-3.3614,9.1532,0.1176,0.4116,-0.2548,-0.006664,-0.016807,0.045766
-1.0682,-3.6652,9.31,0.2646,-0.3038,0.156799,-0.005341,-0.018326,0.04655
-1.6072,-3.4888,9.1728,-0.539,0.1764,-0.137199,-0.008036,-0.017444,0.045864
-1.1172,-3.577,9.2806,0.49,-0.0882001,0.1078,-0.005586,-0.017885,0.046403
-1.4014,-3.381,9.016,-0.2842,0.196,-0.264601,-0.007007,-0.016905,0.04508
-1.4406,-3.8906,9.2512,-0.0391999,-0.5096,0.2352,-0.007203,-0.019453,0.046256
-1.372,-3.6456,9.114,0.0686001,0.245,-0.137199,-0.00686,-0.018228,0.04557
