AccelX,AccelY,AccelZ,OldAX,OldAY,OldAZ,Old2AX,Old2AY,Old2AZ,AvgAX,AvgAY,AvgAZ,DX,DY,Dz
1.2054,-1.9404,9.653,0.9604,-2.0188,10.2508,0.9604,-2.0188,10.2508,1.04207,-1.99267,10.0515,-6.9713e+32,-0.66101,5.92377
1.5974,-1.9502,9.4668,1.2054,-1.9404,9.653,1.2054,-1.9404,9.653,1.33607,-1.94367,9.59093,-6.9713e+32,-0.670728,5.97173
1.3426,-1.4994,10.4272,1.5974,-1.9502,9.4668,1.5974,-1.9502,9.4668,1.51247,-1.79993,9.78693,-6.9713e+32,-0.679728,6.02066
0.7938,-2.009,9.9764,1.3426,-1.4994,10.4272,1.3426,-1.4994,10.4272,1.15967,-1.66927,10.2769,-6.9713e+32,-0.688074,6.07205
0.5782,-1.4896,9.6628,0.7938,-2.009,9.9764,0.7938,-2.009,9.9764,0.721933,-1.83587,9.87187,-6.9713e+32,-0.697254,6.12141
0.8722,-1.225,9.8392,0.5782,-1.4896,9.6628,0.5782,-1.4896,9.6628,0.6762,-1.4014,9.7216,-6.9713e+32,-0.704261,6.17001
1.225,-1.568,9.555,0.8722,-1.225,9.8392,0.8722,-1.225,9.8392,0.9898,-1.33933,9.74447,-6.9713e+32,-0.710957,6.21874
1.176,-1.4112,9.8196,1.225,-1.568,9.555,1.225,-1.568,9.555,1.20867,-1.51573,9.6432,-6.9713e+32,-0.718536,6.26695
1.6072,-1.8032,9.5256,1.176,-1.4112,9.8196,1.176,-1.4112,9.8196,1.31973,-1.54187,9.7216,-6.9713e+32,-0.726245,6.31556
2.8126,-1.2446,10.1626,1.6072,-1.8032,9.5256,1.6072,-1.8032,9.5256,2.009,-1.617,9.73793,-6.9713e+32,-0.73433,6.36425
0.8134,-1.2544,9.5158,2.8126,-1.2446,10.1626,2.8126,-1.2446,10.1626,2.1462,-1.24787,9.947,-6.9713e+32,-0.74057,6.41399
1.2054,-1.7444,9.4472,0.8134,-1.2544,9.5158,0.8134,-1.2544,9.5158,0.944067,-1.41773,9.49293,-6.9713e+32,-0.747658,6.46145
1.3034,-1.96,10.0156,1.2054,-1.7444,9.4472,1.2054,-1.7444,9.4472,1.23807,-1.81627,9.63667,-6.9713e+32,-0.75674,6.50963
0.343,-1.7346,9.7216,1.3034,-1.96,10.0156,1.3034,-1.96,10.0156,0.983267,-1.88487,9.9176,-6.9713e+32,-0.766164,6.55922
0.6566,-1.323,10.045,0.343,-1.7346,9.7216,0.343,-1.7346,9.7216,0.447533,-1.5974,9.8294,-6.9713e+32,-0.774151,6.60837
0.0392,-1.4406,10.045,0.6566,-1.323,10.045,0.6566,-1.323,10.045,0.4508,-1.3622,10.045,-6.9713e+32,-0.780962,6.65859
-0.1568,-0.9996,9.9666,0.0392,-1.4406,10.045,0.0392,-1.4406,10.045,-0.0261333,-1.2936,10.0189,-6.9713e+32,-0.78743,6.70869
0.1568,-1.3524,9.7412,-0.1568,-0.9996,9.9666,-0.1568,-0.9996,9.9666,-0.0522667,-1.1172,9.89147,-6.9713e+32,-0.793016,6.75815
-0.8722,-2.1756,10.4958,0.1568,-1.3524,9.7412,0.1568,-1.3524,9.7412,-0.1862,-1.6268,9.99273,-6.9713e+32,-0.80115,6.80811
-0.6664,-1.4406,9.7216,-0.8722,-2.1756,10.4958,-0.8722,-2.1756,10.4958,-0.8036,-1.9306,10.2377,-6.9713e+32,-0.810803,6.8593
